Sno,temp,hum,soil,ir,ultrasonic,cdate
277,nan,nan,100,1,1203,2022-11-02 13:52:31.218340
278,nan,nan,100,1,18,2022-11-02 13:52:39.820521
279,nan,nan,100,1,54,2022-11-02 13:52:48.417949
280,nan,nan,100,1,57,2022-11-02 13:52:57.062224
281,nan,nan,100,1,57,2022-11-02 13:53:05.652511
282,nan,nan,100,1,1203,2022-11-02 13:53:14.328968
283,nan,nan,100,1,1203,2022-11-02 13:53:22.999278
284,nan,nan,100,1,1203,2022-11-02 13:53:31.656155
285,nan,nan,100,1,1203,2022-11-02 13:53:40.320821
286,nan,nan,100,1,1203,2022-11-02 13:53:48.998134
287,nan,nan,100,1,331,2022-11-02 13:53:57.620605
288,nan,nan,100,1,1203,2022-11-02 13:54:06.379969
289,nan,nan,100,1,1203,2022-11-02 13:54:14.943080
290,nan,nan,100,1,1203,2022-11-02 13:54:23.616703
291,nan,nan,100,1,13,2022-11-02 13:54:32.208308
292,nan,nan,100,1,140,2022-11-02 13:54:40.822036
293,nan,nan,100,1,143,2022-11-02 13:54:49.415679
294,nan,nan,100,1,247,2022-11-02 13:54:58.024066
295,nan,nan,100,1,263,2022-11-02 13:55:06.655285
296,nan,nan,100,1,243,2022-11-02 13:55:15.244666
297,nan,nan,100,1,247,2022-11-02 13:55:23.861272
298,nan,nan,100,1,1203,2022-11-02 13:55:32.531975
299,nan,nan,100,1,243,2022-11-02 13:55:41.147343
300,nan,nan,100,1,247,2022-11-02 13:55:49.758778
301,nan,nan,100,1,159,2022-11-02 13:55:58.371749
302,nan,nan,100,1,118,2022-11-02 13:56:06.992090
303,nan,nan,100,1,243,2022-11-02 13:56:15.580819
304,nan,nan,100,1,225,2022-11-02 13:56:24.191618
305,nan,nan,100,1,284,2022-11-02 13:56:32.824301
306,nan,nan,100,1,242,2022-11-02 13:56:41.440721
307,nan,nan,100,1,245,2022-11-02 13:56:50.058302
308,nan,nan,100,1,48,2022-11-02 13:56:58.650090
309,nan,nan,100,1,246,2022-11-02 13:57:07.269059
310,nan,nan,100,1,246,2022-11-02 13:57:15.880664
311,nan,nan,100,1,12,2022-11-02 13:57:24.464432
312,nan,nan,100,1,16,2022-11-02 13:57:33.060364
313,nan,nan,100,0,0,2022-11-02 13:57:42.670886
314,nan,nan,100,0,0,2022-11-02 13:57:52.246553
315,nan,nan,100,0,0,2022-11-02 13:58:01.840706
316,nan,nan,100,0,0,2022-11-02 13:58:11.430930
317,nan,nan,100,0,0,2022-11-02 13:58:21.037268
318,nan,nan,100,0,0,2022-11-02 13:58:30.632115
319,nan,nan,100,0,0,2022-11-02 13:58:40.235957
320,nan,nan,100,0,0,2022-11-02 13:58:49.873614
321,nan,nan,100,0,0,2022-11-02 13:58:59.534474
322,nan,nan,100,0,0,2022-11-02 13:59:09.031295
323,nan,nan,100,0,0,2022-11-02 13:59:18.625501
324,nan,nan,100,0,0,2022-11-02 13:59:28.208127
325,nan,nan,100,0,0,2022-11-02 13:59:37.803474
326,nan,nan,100,0,0,2022-11-02 13:59:47.397186
327,nan,nan,100,0,0,2022-11-02 13:59:57.004025
328,nan,nan,100,0,0,2022-11-02 14:00:06.586849
329,nan,nan,100,0,0,2022-11-02 14:00:16.185243
330,nan,nan,100,0,0,2022-11-02 14:00:25.783361
331,nan,nan,100,0,0,2022-11-02 14:00:35.374211
332,nan,nan,100,0,0,2022-11-02 14:00:44.968446
333,nan,nan,100,0,0,2022-11-02 14:00:54.578190
334,nan,nan,100,0,0,2022-11-02 14:01:04.162103
335,nan,nan,100,0,0,2022-11-02 14:01:13.762600
336,nan,nan,100,0,0,2022-11-02 14:01:23.350854
337,nan,nan,100,0,0,2022-11-02 14:01:32.942648
338,nan,nan,100,0,0,2022-11-02 14:01:42.542930
339,nan,nan,100,0,0,2022-11-02 14:01:52.134300
340,nan,nan,100,0,0,2022-11-02 14:02:01.735049
341,nan,nan,100,0,0,2022-11-02 14:02:11.328802
342,nan,nan,100,0,0,2022-11-02 14:02:20.920236
343,nan,nan,100,0,0,2022-11-02 14:02:30.519573
344,nan,nan,100,0,0,2022-11-02 14:02:40.111330
345,nan,nan,100,0,0,2022-11-02 14:02:49.715075
346,nan,nan,100,0,0,2022-11-02 14:02:59.306018
347,nan,nan,100,0,0,2022-11-02 14:03:08.894673
348,nan,nan,100,0,0,2022-11-02 14:03:18.492259
349,nan,nan,100,0,0,2022-11-02 14:03:28.090233
350,nan,nan,100,0,0,2022-11-02 14:03:37.687967
351,nan,nan,100,0,0,2022-11-02 14:03:47.284579
352,nan,nan,100,0,0,2022-11-02 14:03:56.890979
353,nan,nan,100,0,0,2022-11-02 14:04:06.490965
354,nan,nan,100,0,0,2022-11-02 14:04:16.084241
355,nan,nan,100,0,0,2022-11-02 14:04:25.683287
356,nan,nan,100,0,0,2022-11-02 14:04:35.253787
357,nan,nan,100,0,0,2022-11-02 14:04:44.864739
